name,ticker,figi,lot,currency,class_code
PerkinElmer,PKI,BBG000FXW512,1,usd,SPBXM
APA Corporation,APA,BBG00YTS96G2,1,usd,SPBXM
CNX Resources Corporation,CNX,BBG000CKVSG8,1,usd,SPBXM
SLM Corp,SLM,BBG000BBCQD7,1,usd,SPBXM
Southwest Gas Holdings,SWX,BBG00FWP4JW4,1,usd,SPBXM
Axcelis Technologies,ACLS,BBG000DW34S2,1,usd,SPBXM
LG Display,LPL,BBG000FJ0RK9,1,usd,SPBXM
Conagra Brands,CAG,BBG000BDXGP9,1,usd,SPBXM
Детский Мир,DSKY,BBG000BN56Q9,10,rub,TQBR
"WW International, Inc.",WW,BBG000DY6735,1,usd,SPBXM
MillerKnoll,MLKN,BBG000BP46T2,1,usd,SPBXM
BASF SE,BAS@DE,BBG000BBVVK7,1,eur,SPBDE
Medtronic,MDT,BBG000BNWG87,1,usd,SPBXM
Arthur J. Gallagher & Co,AJG,BBG000BBHXQ3,1,usd,SPBXM
Rio Tinto,RIO,BBG000FD28T3,1,usd,SPBXM
51job,JOBS,BBG000BJD1D4,1,usd,SPBXM
Guidewire Software Inc,GWRE,BBG001C7PM75,1,usd,SPBXM
Marriott International,MAR,BBG000BGD7W6,1,usd,SPBXM
En+ Group,ENPG,BBG000RMWQD4,1,rub,TQBR
Paycom Software Inc,PAYC,BBG0064N0ZZ5,1,usd,SPBXM
"Tattooed Chef, Inc.",TTCF,BBG00LN7Q496,1,usd,SPBXM
nCino,NCNO,BBG014GJ8XH2,1,usd,SPBXM
City Holding Company,CHCO,BBG000BFJFX3,1,usd,SPBXM
Denali Therapeutics Inc,DNLI,BBG008P7F869,1,usd,SPBXM
Polymetal,POLY,BBG004PYF2N3,1,rub,TQBR
Mettler Toledo,MTD,BBG000BZCKH3,1,usd,SPBXM
TreeHouse Foods Inc,THS,BBG000GQGJT4,1,usd,SPBXM
Hubbell,HUBB,BBG000BLK267,1,usd,SPBXM
News Corp (A),NWSA,BBG0035LY913,1,usd,SPBXM
Atea Pharmaceuticals,AVIR,BBG00TZNCJ75,1,usd,SPBXM
Amphenol,APH,BBG000B9YJ35,1,usd,SPBXM
Нижнекамскнефтехим - акции привилегированные,NKNCP,BBG000GQSVC2,10,rub,TQBR
Avnet,AVT,BBG000BCPB71,1,usd,SPBXM
Domino's Pizza Inc,DPZ,BBG000P458P3,1,usd,SPBXM
ZIM Integrated Shipping Services,ZIM,BBG00YQ7XR05,1,usd,SPBXM
Gray Television Inc,GTN,BBG000DSQLQ0,1,usd,SPBXM
Citigroup,C,BBG000FY4S11,1,usd,SPBXM
Granite Construction Inc,GVA,BBG000DVB833,1,usd,SPBXM
Ryder System,R,BBG000BRVP70,1,usd,SPBXM
International Paper,IP,BBG000BM5SR2,1,usd,SPBXM
